raw,processed,label
Packaging tidak bagus; isi produk berceceran,packaging tidak bagus isi produk cecer,0
paket sdh dtrima dgn baik...packingnya ok py,paket sudah dtrima dengan baik packingnya ok punya,1
Lamban sekali pengiriman nya,lamban sekali kirim nya,0
barang bagus; sesuai gambar &amp; deskripsi; pengiriman cepat ,barang bagus sesuai gambar amp deskripsi kirim cepat,1
pengiriman dengan si cepat nya parah sekali pengiriman jadi sangat lama; sdh 2 kali barang tidak berhasil terkirim report nya yg bersangkutan tidak ada di tempat; padahal setiap saat di rumah ada orang; kurirnya nelepon juga enggak; benar 2x tdk profesional,kirim dengan sih cepat nya parah sekali kirim jadi sangat lama sudah kali barang tidak hasil kirim report nya yang sangkut tidak ada di tempat padahal tiap saat di rumah ada orang kurir nelepon juga tidak benar kali tidak profesional,0
lama bat d kirimnya smpe mau ubanan dan pake acara komplain sana sini dlu lagi. udh gtu hadiah suka di ganti2 sendiri sama sellernya; plus d suruh cancel sndiri sama sellernya wkwk.. udh abis ya stoknya ya kak? minta tlg d itung dengan baik dan benar ya kak alokasi dan budgetnya sblum set promosi. thank u,lama banget di kirim sampai mau uban dan pakai acara komplain sana sini dulu lagi udah gitu hadiah suka di ganti sendiri sama sellernya plus di suruh batal sendiri sama sellernya wkwk udah habis iya stok iya kak minta tolong di hitung dengan baik dan benar iya kak alokasi dan budgetnya belum set promosi thank kamu,0
Packing nya ga aman; barang nya tumpah jadi sampe nya ga penuh,packing nya tidak aman barang nya tumpah jadi sampai nya tidak penuh,0
Produk sesuai deskripsi; pengemasan sangat baik dan pengiriman cepat,produk sesuai deskripsi emas sangat baik dan kirim cepat,1
Produk trlah dikirim dengan baik. Dikemas dengan aman sampai tujuan. Thanks,produk trlah kirim dengan baik kemas dengan aman sampai tuju terima kasih,1
kaleng nya penyok semua 😭 tapi rasa nya enak ..anak2 suka d saat begini bisa dapat harga wajar ....,kaleng nya penyok semua tapi rasa nya enak anak suka di saat begini bisa dapat harga wajar,0
parah pengiriman kalo blum di komplain gak sampe2 padahal cuma bekasi jkt; sedangkan barang2 dari toko sebelah udah sampe padahal baru beli dua hari setelah pesen barang di sini,parah kirim jika belum di komplain enggak sampai padahal cuma bekas jakarta sedang barang dari toko belah sudah sampai padahal baru beli dua hari telah pesan barang di sini,0
puas bgt belanja di sini; pengiriman standar tp msh trmasuk cepet koo; packing juga aman bgt karna walaupun pesen 1 item tp kardusnya gede bgt😁. Thank you🤗,puas banget belanja di sini kirim standar tapi masih masuk cepat koo packing juga aman banget karena walaupun pesan hitam tapi kardus gede banget thank you,1
pengiriman super sangat lama;response toko lama packaging luar tidak nempel erat sehingga product riskan rusak saat pengiriman oleh ekspedisi mohon lbh d perhatikan thanks,kirim super sangat lama response toko lama packaging luar tidak tempel erat sehingga product riskan rusak saat kirim oleh ekspedisi mohon lebih di perhati terima kasih,0
request 3 varian yg beda; eh dikirim yg capuchino semua.. yah..,request varian yang beda eh kirim yang capuchino semua ya,0
barang diterima kondisi rusak; banyak ceceran kecap. seller tidak responsif,barang terima kondisi rusak banyak cecer kecap seller tidak responsif,0
lama bgt barangnya..kendala bukan dr pengiriman tapi dr penjual PO ga da info..,lama banget barang kendala bukan dari kirim tapi dari jual po tidak lah informasi,0
Honeystar itu juara ga terlalu manis dan cocok banget utk sarapan. terbaik! ,honeystar itu juara tidak terlalu manis dan cocok banget untuk sarap baik,1
barang sesuai tetapi pengiriman dengan kurir toko lama sekali; tidak bisa dilacak,barang sesuai tetapi kirim dengan kurir toko lama sekali tidak bisa lacak,0
Barang sih oke; packing oke;; tapi pengiriman lambat sekali; di status udah nunggu pickup tapi sampe 5 hari status pengiriman gak jalan2; sampe di chat dulu baru dikirim,barang sih oke packing oke tapi kirim lambat sekali di status sudah tunggu pickup tapi sampai hari status kirim enggak jalan sampai di chat dulu baru kirim,0
Packaging rapi dan aman. Barang sesuai pesanan.,packaging rapi dan aman barang sesuai pesan,1
mayan 10rb an. thanks,lumayan ribu an terima kasih,1
pengiriman nya lama banget. kecewa.,kirim nya lama banget kecewa,0
ga jelas; sdh diinfokan jgn kirim dikirim brg yg tdk sesuai balik dana lama sekali...,tidak jelas sudah info jangan kirim kirim bareng yang tidak sesuai balik dana lama sekali,0
Harga produk muraaaah; pengemasan oke; proses pengiriman sbnrnya juga oke; tapi terkendala di ekspedisi nya; dan paling puas sama cs nya; ramah dan responsif bgt; oke deh 😍,harga produk murah emas oke proses kirim benar juga oke tapi kendala di ekspedisi nya dan paling puas sama cs nya ramah dan responsif banget oke deh,1
kotor susu beruangnya seperti agak keset di tiap botolnya (seperti jamur). jadi sblm minum harus cuci bersih lg dengan sabun dan digosok 😔. saya tiap bulan beli disini tp baru kaliini seperti itu keadaan susu beruangnya.,kotor susu beruang seperti agak keset di tiap botol seperti jamur jadi seblum minum harus cuci bersih lagi dengan sabun dan gosok saya tiap bulan beli sini tapi baru kaliini seperti itu ada susu beruang,0
Barang sesuai deskripsi;  packing rapi;  tdk ada yg bocor,barang sesuai deskripsi packing rapi tidak ada yang bocor,1
Respon bagus tp tanpa segel; jd shampoo tumpah,respon bagus tapi tanpa segel jadi shampoo tumpah,0
Produk original..dapet cash back..thankyou seller,produk original dapat cash back thankyou seller,1
sampai dengan selamat; dapat diskon; ed juga lama,sampai dengan selamat dapat diskon edisi juga lama,1
sesuai pesanan; pengemasan rapih; aman belanja dirumah 👍🏻,sesuai pesan emas rapi aman belanja rumah,1
mini tapi wangiiiiiiiiiii. ,mini tapi wangi,1
MASA PENGEMASAN KECAP DICAMPUR SATU BUNTELAN SAMA DETERJEN DLL?,masa emas kecap campur satu buntel sama deterjen dan lain,0
Seller responsif; pengiriman ok; barang mantap,seller responsif kirim ok barang mantap,1
Yuk; ceritain kepuasanmu tentang kualitas barang &amp; pelayanan penjual.,yuk ceritain puas tentang kualitas barang amp layan jual,1
semua kaleng susu dalam kondisi penyot,semua kaleng susu dalam kondisi penyot,0
 kecewa banget terima segel pump terbuka lotion berceceran ..sdh complain dr pihak official store gak ada feedback,kecewa banget terima segel pump buka lotion cecer sudah complain dari pihak official store enggak ada feedback,0
bhn aktif alkohol 70% aja dg pewangi,bahan aktif alkohol saja dengan wangi,0
Sesuai pesanan;mantaapp,sesuai pesan mantaapp,1
sudah dibatalkan karna salah alamat tapi tetap dikirim,sudah batal karena salah alamat tapi tetap kirim,0
Selalu puas belanja di unilever,selalu puas belanja di unilever,1
sesuai deskripsi; recsell,sesuai deskripsi recsell,1
pengiriman cepat;  dan pk.kulir ramah.. teruma kasih buat tokopedia,kirim cepat dan jahat kelamin kulir ramah uma kasih buat tokopedia,1
Atas bawah rusak dus nya; mana bisa buat saya jual kembali ?? mana pesanan orang 😒,atas bawah rusak dus nya mana bisa buat saya jual kembali mana pesan orang,0
pengiriman cepat; packing rapi; terima kasih seller. ,kirim cepat packing rapi terima kasih seller,1
Alhamdulillah pesanan sudah sampai.Proses cepat;pengiriman juga cepat;kemasan rapih.Terimakasih ya,alhamdulillah pesan sudah sampai proses cepat kirim juga cepat kemas rapi terimakasih iya,1
Beli saat Flash Sale. Harganya saat FS murah tp sayangnya gak gratis ongkir jd sama aja harganya kayak di toko offline. ,beli saat flash sale harga saat fs murah tapi sayang enggak gratis ongkos kirim jadi sama saja harga seperti di toko oflen,0
pengiriman lama dan penyok semua,kirim lama dan penyok semua,0
bagus; sesuai deskrpsi. kemasan aman,bagus sesuai deskrpsi kemas aman,1
Sesuai pesanan; packing super aman; recommended,sesuai pesan packing super aman recommended,1
kualitas barang tdk ada masalah. yg jd masalah pengirimannya lamo sangat. baru ngalamin kayak gini.,kualitas barang tidak ada masalah yang jadi masalah kirim lamo sangat baru ngalamin seperti begini,0
Barang sesuai pesanan.......,barang sesuai pesan,1
Barang sesuai ;tapi pengiriman lama dan barang saya satunya lagi di cancel;semoga lebih baik lagi,barang sesuai tapi kirim lama dan barang saya satu lagi di batal moga lebih baik lagi,0
Pengiriman kurir anteraja lama sekali ke Jakarta timur; order tanggal 26 Januari pagi sampe tujuan tgl 1 februari siang 🙂,kirim kurir anteraja lama sekali ke jakarta timur order tanggal januari pagi sampai tuju tanggal februari siang,0
